"Scenario" "SGlocation" "verticalLimit" "Intercept" "Slope"
"Anisotropy sandy loam" "Corner" 5 1.42533281111481 -3.64824094193506
"Anisotropy sandy loam" "Corner" 4.5 1.39554123615791 -3.50970730771765
"Anisotropy sandy loam" "Corner" 4 1.37335031003476 -3.4534310653783
"Anisotropy sandy loam" "Corner" 3.5 1.3452893714357 -3.36127455758549
"Anisotropy sandy loam" "Corner" 3 1.31515856400839 -3.28214295748207
"Anisotropy sandy loam" "Corner" 2.5 1.28215782509451 -3.2308225813787
"Anisotropy sandy loam" "Corner" 2 1.24703283875281 -3.26538925596764
"Anisotropy sandy loam" "Corner" 1.5 1.20481552440196 -3.35395592958237
"Anisotropy sandy loam" "Corner" 1 1.1182505952196 -3.01636488963651
"Anisotropy sandy loam" "Corner" 0.5 1.01346847745999 -2.53343586011577
"Anisotropy sandy loam" "Trans" 5 1.48839774794819 -4.32148871551706
"Anisotropy sandy loam" "Trans" 4.5 1.45435408329949 -4.16094246329412
"Anisotropy sandy loam" "Trans" 4 1.42393310764341 -4.06071270152392
"Anisotropy sandy loam" "Trans" 3.5 1.38636337776628 -3.91481466605006
"Anisotropy sandy loam" "Trans" 3 1.34574909394546 -3.77164045769722
"Anisotropy sandy loam" "Trans" 2.5 1.30252005031466 -3.64168112394458
"Anisotropy sandy loam" "Trans" 2 1.25311556211175 -3.51473265763343
"Anisotropy sandy loam" "Trans" 1.5 1.19487544822271 -3.36228042856836
"Anisotropy sandy loam" "Trans" 1 1.1142017297946 -3.01540074133131
"Anisotropy sandy loam" "Trans" 0.5 1.01128132517729 -2.52911777712019
"Anisotropy sandy loam" "Side" 5 1.44911636841722 -3.91983315607392
"Anisotropy sandy loam" "Side" 4.5 1.41946593928756 -3.78321949486012
"Anisotropy sandy loam" "Side" 4 1.39514999497141 -3.71561014997969
"Anisotropy sandy loam" "Side" 3.5 1.36456235815418 -3.60904916871904
"Anisotropy sandy loam" "Side" 3 1.33129135865412 -3.51017698493068
"Anisotropy sandy loam" "Side" 2.5 1.29516694576262 -3.43305020159911
"Anisotropy sandy loam" "Side" 2 1.25429999329661 -3.40197566520599
"Anisotropy sandy loam" "Side" 1.5 1.20415717399193 -3.37440652114068
"Anisotropy sandy loam" "Side" 1 1.11895123634379 -3.02619605023504
"Anisotropy sandy loam" "Side" 0.5 1.01318981998425 -2.53344477660395
"Anisotropy silty loam" "Wettzell" 5 1.94306416336847 -3.32671716239014
"Anisotropy silty loam" "Wettzell" 4.5 1.83082161749199 -2.97863022649839
"Anisotropy silty loam" "Wettzell" 4 1.76142752186352 -2.78042429118743
"Anisotropy silty loam" "Wettzell" 3.5 1.68538497063001 -2.56004347012226
"Anisotropy silty loam" "Wettzell" 3 1.6248759158326 -2.39624735269291
"Anisotropy silty loam" "Wettzell" 2.5 1.57881168752415 -2.28877349935641
"Anisotropy silty loam" "Wettzell" 2 1.54567187014969 -2.23986634732259
"Anisotropy silty loam" "Wettzell" 1.5 1.51652552453308 -2.22360995687197
"Anisotropy silty loam" "Wettzell" 1 1.43811426661938 -2.03362191481177
"Anisotropy silty loam" "Wettzell" 0.5 1.34519016006367 -1.80347728622556
"Anisotropy silty loam" "Center" 5 2.0227179752577 -3.60886737019947
"Anisotropy silty loam" "Center" 4.5 1.90870259292576 -3.25572460029105
"Anisotropy silty loam" "Center" 4 1.8341717509047 -3.04227945142138
"Anisotropy silty loam" "Center" 3.5 1.74904689135634 -2.79388557377784
"Anisotropy silty loam" "Center" 3 1.67717585247562 -2.59465839919575
"Anisotropy silty loam" "Center" 2.5 1.61762043955813 -2.44379415928228
"Anisotropy silty loam" "Center" 2 1.56663561750453 -2.33276002042196
"Anisotropy silty loam" "Center" 1.5 1.5122152234116 -2.22005634480368
"Anisotropy silty loam" "Center" 1 1.43137336201912 -2.01761176845272
"Anisotropy silty loam" "Center" 0.5 1.34209447930369 -1.79659885193151
"Anisotropy silty loam" "Corner" 5 1.734843448557 -2.60666408837782
"Anisotropy silty loam" "Corner" 4.5 1.63650054250249 -2.30340333115706
"Anisotropy silty loam" "Corner" 4 1.59183035601796 -2.18525982165883
"Anisotropy silty loam" "Corner" 3.5 1.54274534513815 -2.05207263719569
"Anisotropy silty loam" "Corner" 3 1.51030620159945 -1.97966679308469
"Anisotropy silty loam" "Corner" 2.5 1.49266091605241 -1.96688999369445
"Anisotropy silty loam" "Corner" 2 1.49485119316646 -2.04331519217666
"Anisotropy silty loam" "Corner" 1.5 1.50153999201513 -2.16254578400409
